"k","dim","sparsity","proj"
13,59,0.668366627932439,88.5590372373053
13,60,0.677725236767708,92.7552361941187
14,10,0.166285085261502,0.994476428686537
14,11,0.208144049635378,1.4454993088957
14,12,0.211999825833232,1.75959279840055
14,13,0.247401338470198,2.16996448952474
14,14,0.270943371626425,2.61169912746357
14,15,0.242707685802643,2.98398232840776
14,16,0.269545661117979,3.50555269753493
14,17,0.269657749914213,3.82657524458339
14,18,0.255771945480991,4.24833284823529
14,19,0.293284513434417,5.05953746088993
14,20,0.302850358373436,5.67074562416525
14,21,0.321393110548151,6.49910001897951
14,22,0.332375492345276,7.22343429695201
14,23,0.309473705093819,7.32248485022232
14,24,0.347528656278489,8.68715120927899
14,25,0.337257717256396,8.95318332929638
14,26,0.363203579962366,10.1449045797035
14,27,0.376322794086972,11.114831538034
14,28,0.377030140463755,11.9604482801292
14,29,0.400130937446658,12.9708161143856
14,30,0.411510654001666,14.6247999947045
14,31,0.438901089625205,16.1573793032914
14,32,0.38648542566092,15.5142455907242
14,33,0.410011756652256,17.4046941706599
14,34,0.415445913246753,18.3529103178362
14,35,0.417172577117927,19.4436266095223
14,36,0.477422292236616,22.7160002839285
14,37,0.460189880611771,23.7833971455651
14,38,0.450172582988565,24.1176592288705
14,39,0.475096888921714,26.8521723785734
14,40,0.473198662640427,28.3558808971728
14,41,0.470571003864047,29.6890299409223
14,42,0.508617521662163,32.7880131097261
14,43,0.474850285245704,33.1054894765197
14,44,0.491500270197946,35.5811891690499
14,45,0.520934202915659,38.2176888043186
14,46,0.501911505680588,40.3051505126108
14,47,0.510072881750569,40.8700883561487
14,48,0.529341625835341,45.436988920805
14,49,0.551347598896957,48.3914188235071
14,50,0.558070163285729,52.0972372975945
14,51,0.579720610706699,55.9392043874356
14,52,0.564237093005836,57.6962974196552
14,53,0.584747360028153,61.8719307831912
14,54,0.589552665460683,64.8199077581821
14,55,0.62506583434165,69.236703586193
14,56,0.642233502770729,75.2890941561052
14,57,0.643950516016312,80.1355985979416
14,58,0.646255673795586,83.3923318135264
14,59,0.643109561977679,88.6263571347935
14,60,0.661170393436908,92.6488702748988
15,10,0.159625256267953,0.958889080256535
15,11,0.1346991666995,1.17845017360086
15,12,0.207110026342185,1.68520154620428
15,13,0.26691190247671,2.24690913452964
15,14,0.23755890108875,2.51214962763042
15,15,0.240759372664484,2.80724614998994
15,16,0.2453500421126,3.35373301148874
15,17,0.298226114270136,4.06509528867639
15,18,0.250799640962615,4.28582832647851
15,19,0.322960224388566,5.31046273329756
15,20,0.279475744120527,5.57593759566288
15,21,0.29997336069956,6.05881392893533
15,22,0.328246224600164,7.15125828075575
15,23,0.319039489606504,7.59830381557035
15,24,0.338357683306174,8.41638153980108
15,25,0.355943697521244,9.08099411126077
15,26,0.344361564378517,9.93150550194665
15,27,0.378549295878078,11.1783289401964
15,28,0.379030631333797,11.7924755545714
15,29,0.380019176712169,12.8937783781213
15,30,0.404588250522966,14.4379851491082
15,31,0.39043616284696,15.0012031950075
15,32,0.366621920776659,14.9100469684927
15,33,0.423868165347886,17.8318972850432
15,34,0.429037808354557,19.2914160847152
15,35,0.418927043425136,19.5103449433291
15,36,0.400450412092657,20.1161788509738
15,37,0.409636929791958,21.7522041771511
15,38,0.434179300384883,24.2107493843274
15,39,0.42592931064745,23.675944080832
15,40,0.446290965118822,26.3377636652248
15,41,0.509378048776069,30.9044371829586
15,42,0.439576716460979,28.698623929789
15,43,0.43202345269314,30.0050295339159
15,44,0.476210731720878,34.4913929821771
15,45,0.490934008073532,36.461868390262
15,46,0.496268723317264,39.5236571053695
15,47,0.513694188495685,41.9684737607477
15,48,0.553802223732247,46.3899791482363
15,49,0.5026819150183,44.4544198086635
15,50,0.560426590639249,52.2283530674723
15,51,0.454469482375697,46.6456738478413
15,52,0.584329848266222,59.0876477420682
15,53,0.588511577403118,61.6296557866613
15,54,0.54123766293115,59.0094529770139
15,55,0.594674336657592,68.9382215443721
15,56,0.625971623278651,75.4262441281619
15,57,0.522174571889878,62.6148039607796
15,58,0.669861306866743,85.7558387947762
15,59,0.658224983755036,89.8955149986091
15,60,0.660176991240704,94.2591602062644
16,10,0.202609465871095,1.04512465540834
16,11,0.185986587250603,1.34454268758604
16,12,0.247584036037957,1.76965128312827
16,13,0.259924302968128,2.21706571225107
16,14,0.299528815391788,2.72858634711423
16,15,0.263538614425641,3.02560071925437
16,16,0.255965751755151,3.39481973961336
16,17,0.265193861032158,3.84490566552213
16,18,0.297669609038795,4.62523465224815
16,19,0.326291973328612,5.29474862427137
16,20,0.25083607873287,4.96280931775728
16,21,0.307561811691012,5.96034428327894
